Date,Image Id,Components,Model,Pdf Type,Samples,Dimension,R2 Score,Max Error Score,N Layer,N Neurons,Epoch,Mse Score,Evs Score,Ise Score,K1 Score,Id,Best Params,Experiment Params,Pdf Param,Id Dataset
2024-03-19 00:02:21,2e813b4,10,MLP kmeans,MULTIVARIATE_1254,400,1,0.917,0.076,2,3078,350,0.016,0.917,0.003,0.015,1b156,"{'criterion': HuberLoss(), 'max_epochs': 350, 'batch_size': 10, 'lr': 0.005, 'module__last_activation': 'lambda', 'module__hidden_layer': [(54, ReLU()), (57, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.05}","{'criterion': [HuberLoss()], 'max_epochs': [350], 'batch_size': [10, 32], 'lr': [0.005], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.05]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:55:39,7e71732,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.836,0.119,3,26901,430,0.023,0.836,0.005,0.027,76651,"{'criterion': HuberLoss(), 'max_epochs': 430, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(63, ReLU()), (61, ReLU()), (7, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [430], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(63, ReLU()), (61, ReLU()), (7, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:56:04,c49214a,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.848,0.128,3,26901,450,0.022,0.848,0.005,0.023,f40dd,"{'criterion': HuberLoss(), 'max_epochs': 450, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(63, ReLU()), (61, ReLU()), (7, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [450], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(63, ReLU()), (61, ReLU()), (7, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:56:28,6ea2e39,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.746,0.179,3,26901,500,0.028,0.747,0.008,0.035,74bab,"{'criterion': HuberLoss(), 'max_epochs': 500, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(63, ReLU()), (61, ReLU()), (7, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [500], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(63, ReLU()), (61, ReLU()), (7, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:56:49,af87e4f,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.817,0.139,3,26901,400,0.024,0.817,0.006,0.027,534ce,"{'criterion': HuberLoss(), 'max_epochs': 400, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(63, ReLU()), (61, ReLU()), (7, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [400], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(63, ReLU()), (61, ReLU()), (7, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:57:17,5632674,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.797,0.125,3,21000,450,0.025,0.797,0.006,0.035,deaf3,"{'criterion': HuberLoss(), 'max_epochs': 450, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(60, ReLU()), (50, ReLU()), (7, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [450], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(60, ReLU()), (50, ReLU()), (7, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:57:44,6f31318,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.786,0.162,3,36000,450,0.026,0.788,0.007,0.026,7ccb6,"{'criterion': HuberLoss(), 'max_epochs': 450, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(60, ReLU()), (60, ReLU()), (10, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [450], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(60, ReLU()), (60, ReLU()), (10, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:58:40,0f45e23,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.806,0.148,3,36000,400,0.025,0.809,0.006,0.025,41705,"{'criterion': HuberLoss(), 'max_epochs': 400, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(60, ReLU()), (60, ReLU()), (10, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.02}","{'criterion': [HuberLoss()], 'max_epochs': [400], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(60, ReLU()), (60, ReLU()), (10, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.02]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 01:59:06,17c7f98,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.851,0.127,3,36000,400,0.022,0.856,0.005,0.02,7c311,"{'criterion': HuberLoss(), 'max_epochs': 400, 'batch_size': 20, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(60, ReLU()), (60, ReLU()), (10, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.03}","{'criterion': [HuberLoss()], 'max_epochs': [400], 'batch_size': [20, 32], 'lr': [0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(60, ReLU()), (60, ReLU()), (10, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.03]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
2024-03-19 02:01:11,7620990,8,MLP kmeans,MULTIVARIATE_1254,400,1,0.87,0.126,3,36000,400,0.02,0.873,0.004,0.02,c76f1,"{'criterion': HuberLoss(), 'max_epochs': 400, 'batch_size': 20, 'lr': 0.001, 'module__last_activation': 'lambda', 'module__hidden_layer': [(60, ReLU()), (60, ReLU()), (10, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.03}","{'criterion': [HuberLoss()], 'max_epochs': [400], 'batch_size': [20, 32], 'lr': [0.001], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(60, ReLU()), (60, ReLU()), (10, ReLU())], [(54, ReLU()), (57, ReLU())], [(32, ReLU()), (16, Tanh()), (16, Tanh()), (8, Tanh())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.03]}","[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",1609d
