Date,Id,Components,Model,Pdf Type,Samples,Dimension,R2 Score,Mse Score,Max Error Score,Evs Score,Ise Score,K1 Score,Best Params,Experiment Params,Epoch,Pdf Param,Id Dataset
2023-08-31 20:24:34,42684,32,GMM random,exponential,100,1,0.773,0.191,1.261,0.773,400.988,0.758,None,None,0,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",97f9c
2023-08-31 20:24:39,a1e86,32,MLP kmeans ,exponential,100,1,0.719,0.212,1.105,0.73,0.153,0.198,{},"{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 100], 'batch_size': [8, 32, 128], 'lr': [0.003, 0.01], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU())], [(64, Tanh())], [(80, ReLU()), (160, ReLU())], [(16, Tanh()), (32, Tanh()), (64, ReLU())], [(16, LeakyReLU(negative_slope=0.01)), (64, Tanh()), (32, ReLU())], [(32, ReLU()), (16, Tanh()), (8, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.5, 0.1]}",327,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",97f9c
2023-08-31 20:26:25,4b60e,32,MLP kmeans ,exponential,100,1,0.703,0.219,1.064,0.732,0.162,1.882,{},"{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 100], 'batch_size': [8, 32, 128], 'lr': [0.003, 0.01], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], [(64, Tanh())], [(64, ReLU()), (128, ReLU())], [(16, Tanh()), (32, Tanh()), (64, ReLU())], [(8, LeakyReLU(negative_slope=0.01)), (16, Tanh()), (32, ReLU())], [(32, ReLU()), (16, Tanh()), (8, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.5, 0.1]}",500,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",97f9c
2023-08-31 20:27:25,eb89f,32,GMM random,multivariate,100,1,0.966,0.008,0.031,0.966,384.313,0.693,None,None,0,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
2023-08-31 20:27:34,80963,32,MLP kmeans ,multivariate,100,1,0.069,0.04,0.105,0.084,0.055,3.766,{},"{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 100], 'batch_size': [8, 32, 128], 'lr': [0.001, 0.01], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], [(64, Tanh())], [(64, ReLU()), (128, ReLU())], [(16, Tanh()), (32, Tanh()), (64, ReLU())], [(8, LeakyReLU(negative_slope=0.01)), (16, Tanh()), (32, ReLU())], [(32, ReLU()), (16, Tanh()), (8, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>, <class 'torch.optim.sgd.SGD'>], 'module__dropout': [0.5, 0.1]}",500,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
2023-08-31 20:27:49,c1d44,32,GMM kmeans,multivariate,100,1,-0.934,0.057,1.869,-0.932,788.27,0.693,None,None,0,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
2023-08-31 20:28:21,e4a7d,32,MLP random ,multivariate,100,1,0.935,0.01,0.045,0.936,0.004,0.043,{},"{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 100], 'batch_size': [8, 32, 128], 'lr': [0.001, 0.01], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], [(64, Tanh())], [(64, ReLU()), (128, ReLU())], [(16, Tanh()), (32, Tanh()), (64, ReLU())], [(8, LeakyReLU(negative_slope=0.01)), (16, Tanh()), (32, ReLU())], [(32, ReLU()), (16, Tanh()), (8, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>, <class 'torch.optim.sgd.SGD'>], 'module__dropout': [0.5, 0.1]}",500,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
2023-08-31 20:49:03,82dff,32,MLP random ,multivariate,100,1,0.948,0.009,0.043,0.95,0.003,0.032,"{'batch_size': 8, 'criterion': <class 'torch.nn.modules.loss.HuberLoss'>, 'lr': 0.001, 'max_epochs': 1000, 'module__dropout': 0.1, 'module__hidden_layer': [(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], 'module__last_activation': 'lambda', 'optimizer': <class 'torch.optim.adam.Adam'>}","{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 100], 'batch_size': [8, 32, 128], 'lr': [0.001, 0.01], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], [(64, Tanh())], [(64, ReLU()), (128, ReLU())], [(16, Tanh()), (32, Tanh()), (64, ReLU())], [(8, LeakyReLU(negative_slope=0.01)), (16, Tanh()), (32, ReLU())], [(32, ReLU()), (16, Tanh()), (8, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>, <class 'torch.optim.sgd.SGD'>], 'module__dropout': [0.5, 0.1]}",1000,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
2023-08-31 21:16:39,6011f,32,MLP random ,multivariate,100,1,-1.063,0.059,0.103,0.125,0.121,0.565,"{'batch_size': 32, 'criterion': <class 'torch.nn.modules.loss.HuberLoss'>, 'lr': 0.001, 'max_epochs': 5000, 'module__dropout': 0.3, 'module__hidden_layer': [(128, ReLU()), (64, ReLU()), (128, ReLU())], 'module__last_activation': 'lambda', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}","{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.001, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], [(128, ReLU()), (64, ReLU()), (128, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'optimizer__weight_decay': [0.001], 'module__dropout': [0.3, 0.1]}",5000,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
2023-08-31 22:01:25,ede80,32,MLP random ,multivariate,100,1,0.963,0.008,0.036,0.964,0.002,0.023,"{'batch_size': 16, 'criterion': <class 'torch.nn.modules.loss.HuberLoss'>, 'lr': 0.001, 'max_epochs': 5000, 'module__dropout': 0.2, 'module__hidden_layer': [(128, ReLU()), (128, ReLU()), (128, ReLU())], 'module__last_activation': 'lambda', 'optimizer': <class 'torch.optim.adam.Adam'>}","{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [500, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.001, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(128, ReLU()), (128, <class 'torch.nn.modules.activation.Tanh'>)], [(128, ReLU()), (128, ReLU()), (128, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.2, 0.1]}",5000,"[[{'type': 'logistic', 'mean': 20, 'scale': 0.5, 'weight': 0.4}, {'type': 'logistic', 'mean': 10, 'scale': 4, 'weight': 0.4}, {'type': 'logistic', 'mean': 17, 'scale': 1, 'weight': 0.2}]]",cc6b1
