Number,State,R2 score,Param activation_l0,Param activation_l1,Param activation_l2,Param activation_l3,Param activation_l4,Param batch_size,Param epoch,Param gmm_seed,Param init_params_gmm,Param last_activation,Param learning_rate,Param loss,Param max_iter,Param n_components,Param n_init,Param n_layers,Param n_units_l0,Param n_units_l1,Param n_units_l2,Param n_units_l3,Param n_units_l4,Param optimizer,Param seed
0,COMPLETE,-2.17055915,sigmoid,tanh,tanh,relu,,34,930,65,kmeans,lambda,0.00767747567284165,huber_loss,20,7,100,4,6,8,52,40,,RMSprop,84
1,COMPLETE,-0.33544231,sigmoid,relu,sigmoid,,,64,230,56,random_from_data,lambda,0.06886758483514965,huber_loss,30,2,60,3,4,12,10,,,RMSprop,54
2,COMPLETE,-2.95986051,sigmoid,relu,sigmoid,relu,,6,700,64,random_from_data,lambda,0.03876996452589087,huber_loss,70,5,100,4,8,30,24,48,,RMSprop,15
3,COMPLETE,-435.18606581,tanh,,,,,34,900,51,k-means++,,0.06115365077524452,huber_loss,30,3,50,1,64,,,,,RMSprop,81
4,COMPLETE,-2.9734527,tanh,sigmoid,relu,,,46,910,20,kmeans,,0.002937501418211498,mse_loss,20,9,100,3,26,44,14,,,Adam,66
5,COMPLETE,-0.0162438,sigmoid,tanh,sigmoid,sigmoid,,62,860,45,k-means++,lambda,0.0003310699247845684,huber_loss,20,6,100,4,6,18,48,12,,RMSprop,4
6,COMPLETE,-1.32551083,tanh,sigmoid,tanh,sigmoid,relu,20,770,7,kmeans,,0.028018672087687796,mse_loss,70,6,50,5,18,18,26,42,64,Adam,66
7,COMPLETE,-109.67516103,sigmoid,tanh,,,,58,340,15,random_from_data,lambda,1.9190761328068918e-05,mse_loss,50,3,40,2,10,12,,,,RMSprop,15
8,COMPLETE,0.51281556,relu,relu,tanh,,,64,570,93,kmeans,lambda,0.000828380024068074,huber_loss,100,2,80,3,48,24,52,,,Adam,92
9,COMPLETE,-1834.85697294,relu,,,,,58,530,59,k-means++,,3.934715683749499e-05,huber_loss,70,9,70,1,12,,,,,Adam,44
10,COMPLETE,-0.07351248,relu,relu,,,,78,510,100,random,lambda,0.00025100990015330146,mse_loss,100,4,20,2,50,60,,,,Adam,96
11,COMPLETE,-8.15988069,relu,tanh,sigmoid,sigmoid,,78,690,94,k-means++,lambda,0.0002861298137885923,huber_loss,100,7,80,4,42,28,52,4,,Adam,35
12,COMPLETE,0.46936631,relu,relu,tanh,tanh,sigmoid,66,360,32,random,lambda,0.0005644129255815336,huber_loss,50,5,80,5,36,24,60,12,4,RMSprop,2
13,COMPLETE,-0.7803506,relu,relu,tanh,tanh,sigmoid,48,440,33,random,lambda,0.0014910642608876948,huber_loss,60,2,80,5,38,42,60,22,4,Adam,26
14,COMPLETE,-25.87145181,relu,relu,,,,74,190,81,random,lambda,7.92841173522564e-05,huber_loss,90,4,80,2,52,24,,,,RMSprop,0
15,COMPLETE,-0.04266884,relu,relu,tanh,tanh,sigmoid,70,360,33,random,lambda,0.007536354623622078,huber_loss,50,4,70,5,30,36,64,64,4,Adam,56
16,COMPLETE,-2.9033273,relu,relu,tanh,,,52,630,79,kmeans,lambda,0.0008989937615033507,huber_loss,40,8,10,3,50,54,42,,,RMSprop,100
17,COMPLETE,0.49481184,relu,relu,,,,38,300,36,kmeans,lambda,0.0007246447601395767,huber_loss,80,5,90,2,62,4,,,,Adam,76
18,COMPLETE,0.14740181,relu,sigmoid,,,,36,110,77,kmeans,,0.003536069157968386,mse_loss,90,3,90,2,64,4,,,,Adam,83
19,COMPLETE,-0.60255536,relu,relu,relu,,,16,600,41,kmeans,lambda,0.00011573590511510894,huber_loss,80,2,60,3,56,18,36,,,Adam,70
20,COMPLETE,-166.2769207,tanh,,,,,26,460,23,kmeans,lambda,1.0295370787335814e-05,huber_loss,90,7,90,1,44,,,,,Adam,75
21,COMPLETE,0.74339085,relu,relu,tanh,,,42,310,32,random,lambda,0.0008063603552925048,huber_loss,80,5,70,3,58,24,58,,,Adam,87
22,COMPLETE,-0.23856646,relu,relu,tanh,,,44,270,0,kmeans,lambda,0.001382932369986482,huber_loss,80,5,70,3,58,36,44,,,Adam,90
23,COMPLETE,-55.30819121,relu,relu,,,,26,110,43,random,lambda,0.00011520137864495209,huber_loss,80,6,90,2,58,22,,,,Adam,91
24,COMPLETE,0.06395284,relu,relu,,,,40,400,26,kmeans,lambda,0.0005988567552365975,huber_loss,100,4,40,2,46,4,,,,Adam,74
25,COMPLETE,-0.93973321,relu,relu,tanh,,,54,290,71,kmeans,lambda,0.002731118627712436,huber_loss,90,5,70,3,60,12,58,,,Adam,61
26,COMPLETE,-0.70054802,relu,sigmoid,relu,relu,,28,180,91,random,,0.006677917403840407,mse_loss,60,3,90,4,54,42,34,64,,Adam,91
27,COMPLETE,-2.91691778,relu,relu,,,,16,580,12,random_from_data,lambda,0.0005072454785229741,huber_loss,80,8,60,2,48,48,,,,Adam,78
28,COMPLETE,-0.97022451,tanh,relu,tanh,,,2,470,50,kmeans,lambda,0.00019055948584703898,huber_loss,100,6,80,3,62,32,52,,,Adam,44
29,COMPLETE,-0.53853819,relu,relu,tanh,,,40,280,38,kmeans,lambda,0.013622967192278058,huber_loss,70,4,90,3,42,26,40,,,Adam,86
30,COMPLETE,0.2703229,sigmoid,,,,,32,1000,28,random,lambda,0.0015491489668184415,huber_loss,90,8,70,1,56,,,,,Adam,96
31,COMPLETE,-0.27296533,relu,relu,tanh,tanh,,68,350,33,random,lambda,0.0006854800338811052,huber_loss,60,5,80,4,38,22,64,24,,RMSprop,88
32,COMPLETE,0.72405131,relu,relu,tanh,,,66,400,49,random,lambda,0.00039094691549163913,huber_loss,40,5,80,3,32,16,56,,,RMSprop,31
33,COMPLETE,0.20960965,relu,relu,tanh,sigmoid,,52,410,57,random,lambda,0.0010985318578139152,huber_loss,40,5,100,4,30,16,56,52,,RMSprop,28
34,COMPLETE,-0.15794106,relu,tanh,tanh,,,60,230,50,random_from_data,lambda,0.0003621733793121547,huber_loss,10,6,60,3,26,8,46,,,RMSprop,45
35,COMPLETE,0.43084791,sigmoid,relu,relu,,,74,490,65,random,lambda,0.0024142928071444166,huber_loss,40,2,90,3,22,10,54,,,RMSprop,81
36,COMPLETE,-0.09978189,relu,relu,tanh,,,48,670,47,k-means++,,0.00013923987371575644,huber_loss,30,3,100,3,32,16,48,,,Adam,35
37,COMPLETE,-1.09730135,tanh,relu,,,,38,560,38,kmeans,lambda,5.819425463171352e-05,mse_loss,80,7,50,2,64,32,,,,RMSprop,52
38,COMPLETE,-0.42711068,sigmoid,sigmoid,tanh,,,72,310,56,random_from_data,lambda,0.004124836969426712,huber_loss,70,4,70,3,60,6,28,,,Adam,19
39,COMPLETE,-0.18375525,relu,tanh,tanh,relu,,64,770,16,random,,0.01528283222880869,huber_loss,40,6,80,4,54,14,64,30,,RMSprop,63
40,COMPLETE,0.06380768,tanh,relu,,,,56,420,19,kmeans,lambda,0.001983052594484317,mse_loss,70,5,40,2,16,20,,,,Adam,99
41,COMPLETE,0.01321841,relu,relu,tanh,tanh,tanh,66,380,29,random,lambda,0.0004349697561642487,huber_loss,50,5,80,5,36,26,60,14,32,RMSprop,8
42,COMPLETE,-0.02723975,relu,relu,tanh,tanh,,62,230,39,random,lambda,0.0005679715856618901,huber_loss,30,5,100,4,34,28,58,4,,RMSprop,9
43,COMPLETE,0.40865507,relu,relu,tanh,,,44,320,54,random,lambda,0.0009560105953414303,huber_loss,50,4,70,3,24,22,50,,,RMSprop,22
44,COMPLETE,-0.53617869,relu,relu,tanh,tanh,,78,520,34,k-means++,lambda,0.0002601283661780624,huber_loss,50,6,80,4,40,10,54,16,,RMSprop,32
45,COMPLETE,-9.67287246,relu,,,,,66,170,47,random,lambda,0.00018925840728187734,huber_loss,60,5,90,1,46,,,,,RMSprop,72
46,COMPLETE,-0.10756824,sigmoid,sigmoid,tanh,tanh,sigmoid,32,260,63,random,lambda,0.0007983225263313748,huber_loss,30,3,80,5,52,30,60,32,30,RMSprop,12
47,COMPLETE,-0.17184976,relu,tanh,,,,80,350,25,random,,0.00037847086715328,huber_loss,100,6,60,2,28,14,,,,Adam,40
48,COMPLETE,-0.02216374,relu,relu,sigmoid,,,50,440,86,k-means++,lambda,0.0016976519053526725,mse_loss,20,7,90,3,34,20,4,,,RMSprop,0
49,COMPLETE,0.00303094,relu,relu,tanh,tanh,,58,750,45,random_from_data,lambda,0.0010434168837659098,huber_loss,60,4,70,4,20,38,56,22,,Adam,58
50,COMPLETE,-0.72182741,relu,relu,,,,70,370,70,kmeans,lambda,0.005201624018122571,huber_loss,40,5,80,2,50,26,,,,Adam,67
51,COMPLETE,0.07889938,sigmoid,relu,relu,,,74,490,100,random,lambda,0.0028512621989514003,huber_loss,40,2,90,3,24,8,52,,,RMSprop,81
52,COMPLETE,0.6156909,sigmoid,relu,relu,,,72,630,64,random,lambda,0.0006853541322202962,huber_loss,40,2,90,3,12,10,62,,,RMSprop,94
53,COMPLETE,-0.50436458,sigmoid,relu,relu,,,62,660,31,random,lambda,0.00020692573595574044,huber_loss,50,2,100,3,6,16,62,,,RMSprop,96
54,COMPLETE,-0.14258284,sigmoid,relu,relu,,,66,620,62,random,lambda,0.0006738868360821908,huber_loss,50,3,90,3,14,6,18,,,RMSprop,93
55,COMPLETE,0.46628533,sigmoid,relu,sigmoid,,,76,540,37,random,lambda,0.0012151454754274536,huber_loss,70,2,80,3,10,12,56,,,RMSprop,85
56,COMPLETE,0.05600949,tanh,relu,,,,70,730,74,kmeans,lambda,0.000324419039293196,huber_loss,40,3,100,2,60,18,,,,Adam,77
57,COMPLETE,-1.39420283,relu,tanh,relu,tanh,,56,320,42,random,,0.0005179609955170094,huber_loss,30,9,30,4,46,24,60,10,,RMSprop,93
58,COMPLETE,0.32779998,relu,sigmoid,sigmoid,relu,relu,20,800,23,kmeans,lambda,0.0007895405066918176,mse_loss,90,4,80,5,42,4,50,28,20,Adam,87
59,COMPLETE,-0.60466665,sigmoid,relu,relu,,,44,580,88,random,lambda,6.902751095360549e-05,huber_loss,100,2,70,3,56,10,64,,,Adam,98
60,COMPLETE,-2.95986379,relu,relu,tanh,,,10,210,96,kmeans,lambda,0.0735664677305098,huber_loss,80,4,50,3,62,14,58,,,RMSprop,82
61,COMPLETE,0.61762685,sigmoid,relu,sigmoid,,,78,540,37,random,lambda,0.001365948082590671,huber_loss,70,2,80,3,10,12,56,,,RMSprop,84
62,COMPLETE,0.11643114,sigmoid,relu,sigmoid,,,80,650,52,random,lambda,0.0004429575379182201,huber_loss,80,3,90,3,8,20,54,,,RMSprop,93
63,COMPLETE,0.45878583,sigmoid,relu,sigmoid,,,72,450,35,random,lambda,0.0020236116293980253,huber_loss,90,2,80,3,12,6,62,,,RMSprop,89
64,COMPLETE,-0.36849523,sigmoid,relu,,,,76,150,29,random,lambda,0.0012445857109504336,huber_loss,60,2,70,2,18,60,,,,RMSprop,79
65,COMPLETE,-0.43294198,sigmoid,relu,sigmoid,,,62,390,43,random,lambda,0.00027433357842622096,huber_loss,70,5,80,3,8,10,48,,,RMSprop,83
66,COMPLETE,-0.20646027,relu,,,,,36,600,59,k-means++,lambda,0.0008342196533103084,huber_loss,80,2,90,1,58,,,,,Adam,96
67,COMPLETE,-2.43039894,relu,relu,sigmoid,,,68,710,84,kmeans,lambda,0.00015903419235248348,huber_loss,60,3,90,3,14,64,56,,,Adam,72
68,COMPLETE,0.42910466,tanh,relu,tanh,sigmoid,,72,500,21,random,,0.0005935168565468633,huber_loss,70,6,80,4,4,12,62,38,,RMSprop,18
69,COMPLETE,0.40353883,relu,relu,relu,,,28,260,68,random_from_data,lambda,0.0015770267206526563,mse_loss,50,5,60,3,4,24,52,,,Adam,85
70,COMPLETE,-0.14464397,sigmoid,sigmoid,,,,76,820,40,random,lambda,9.899894429153765e-05,huber_loss,90,4,70,2,64,18,,,,RMSprop,100
71,COMPLETE,-0.07533922,sigmoid,relu,sigmoid,,,78,550,36,random,lambda,0.0012273862046142108,huber_loss,70,2,80,3,10,12,58,,,RMSprop,86
72,COMPLETE,0.62985787,sigmoid,relu,sigmoid,,,76,540,47,random,lambda,0.0010215577772695243,huber_loss,70,2,80,3,12,8,56,,,RMSprop,89
73,COMPLETE,0.27931561,sigmoid,relu,sigmoid,,,68,620,48,random,lambda,0.0022171753426242246,huber_loss,80,2,90,3,16,8,60,,,RMSprop,90
74,COMPLETE,0.26314909,sigmoid,relu,sigmoid,,,64,420,32,random,lambda,0.003783570768661165,huber_loss,40,2,80,3,12,4,44,,,RMSprop,3
75,COMPLETE,-0.13199926,relu,relu,tanh,,,70,470,46,kmeans,lambda,0.00044120217962687687,huber_loss,60,3,70,3,38,16,54,,,RMSprop,76
76,COMPLETE,-0.55012331,sigmoid,relu,sigmoid,tanh,,74,570,53,random,lambda,0.0006920920237942248,huber_loss,80,2,90,4,54,8,38,52,,Adam,48
77,COMPLETE,-1.79250894,relu,tanh,,,,80,300,43,random,lambda,0.00035781957881916057,huber_loss,70,8,80,2,20,28,,,,RMSprop,93
78,COMPLETE,0.62949263,relu,relu,tanh,,,32,520,26,kmeans,lambda,0.0009561094596940861,huber_loss,90,5,80,3,10,14,58,,,RMSprop,88
79,COMPLETE,-0.40509343,sigmoid,relu,tanh,,,22,530,13,kmeans,lambda,0.0009022956154381944,huber_loss,90,5,70,3,16,14,32,,,Adam,88
80,COMPLETE,-0.98527947,relu,relu,tanh,,,32,600,27,kmeans,,0.00151790238041586,huber_loss,100,3,10,3,6,6,50,,,RMSprop,79
81,COMPLETE,0.6073645,relu,relu,tanh,,,60,340,30,kmeans,lambda,0.0009648374444705006,huber_loss,90,5,80,3,10,10,58,,,RMSprop,91
82,COMPLETE,0.69820155,relu,relu,tanh,,,42,330,24,kmeans,lambda,0.000986420686494145,huber_loss,90,5,80,3,10,10,56,,,RMSprop,96
83,COMPLETE,0.70008074,relu,relu,tanh,,,60,520,18,kmeans,lambda,0.0010168034482626416,huber_loss,100,5,80,3,10,12,56,,,RMSprop,91
