Id,Date,Sample,PDF Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error,MSE Score,EVS Score,ISE Score,KL Score,Title,PDF params,Model params,Target params,Seed
27c117,2024-03-27 22-30,100,MULTIVARIATE_1254,,None,GMM,0.2388,,,,,,,1,0.1707,0.0023,0.2401,85.9788,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 6, 'n_init': 41, 'max_iter': 203, 'init_params': 'k-means++', 'random_state': 85}",,36
ce3948,2024-03-27 22-30,100,MULTIVARIATE_1254,,None,Parzen Window,0.7807,,,,,,,1,0.1237,0.0007,0.7817,57.9858,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",{'h': 0.31652534663179266},,36
6a6112,2024-03-27 22-53,100,MULTIVARIATE_1254,,None,GMM,-0.7974,,,,,,,1,0.3769,0.0055,-0.7965,119.1889,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 10, 'n_init': 100, 'max_iter': 100, 'init_params': 'k-means++', 'random_state': 85}",,36
50bd47,2024-03-27 22-55,100,MULTIVARIATE_1254,,None,GMM,-0.0425,,,,,,,1,0.2052,0.0032,-0.0413,94.9787,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 6, 'n_init': 100, 'max_iter': 100, 'init_params': 'k-means++', 'random_state': 85}",,36
5075ab,2024-03-27 22-55,100,MULTIVARIATE_1254,,None,GMM,-0.062,,,,,,,1,0.1998,0.0032,-0.0616,83.0914,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 4, 'n_init': 100, 'max_iter': 100, 'init_params': 'k-means++', 'random_state': 85}",,36
ab757d,2024-03-27 23-16,100,MULTIVARIATE_1254,,None,GMM,0.3641,,,,,,,1,0.1698,0.0019,0.3645,74.8098,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 4, 'n_init': 11, 'max_iter': 684, 'init_params': 'kmeans', 'random_state': 69}",,36
2d5f24,2024-03-28 00-40,100,MULTIVARIATE_1254,,None,Parzen Window,0.7974,,,,,,,1,0.1288,0.0006,0.7998,53.9288,0.1609,Experiment  H0.3795755152130492 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",{'h': 0.3795755152130492},,72
9f365b,2024-03-28 01-15,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.7145,,,,,,,1,0.0953,0.0009,0.7287,0.0088,0.0475,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.457993939},72
7c3f12,2024-03-28 01-18,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.7408,,,,,,,1,0.1202,0.0008,0.7485,0.008,0.0377,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.457993939},72
c5fced,2024-03-28 01-47,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.6055,,,,,,,1,0.132,0.0012,0.6073,0.0121,0.0666,Experiment  H0.457993939 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.457993939},72
