Id,Date,Pdf Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error Score,K1 Score,Seed
f110a117,2024-04-23 14-37,EXPONENTIAL_06,GMM,random C24 ,GNN,0.9364,610,58,0.0030987653108978165,1,58,mse_loss,1,0.1978,0.1731,73
0f31e799,2024-04-23 14-38,EXPONENTIAL_06,GMM,random C24 ,GNN,0.9364,610,58,0.0030987653108978165,1,58,mse_loss,1,0.1978,0.1731,73
212a68d0,2024-04-23 13-27,MULTIVARIATE_1254,GMM,k-means++ C4 ,GNN,0.7255,770,34,0.0007619,4,166,mse_loss,1,0.0882,0.0512,8
7b4867aa,2024-04-23 13-33,MULTIVARIATE_1254,PARZEN,H0.4489913561811363,PNN,0.6206,1000,10,0.000625561910265068,5,160,huber_loss,1,0.1136,0.068,27
b940cac4,2024-04-23 13-37,MULTIVARIATE_1254,PARZEN,H0.4489913561811363,PNN,0.6855,1000,10,0.000625561910265068,5,160,huber_loss,1,0.0826,0.0678,27
ac07a368,2024-04-23 13-39,MULTIVARIATE_1254,PARZEN,H0.4489913561811363,PNN,-0.2445,100,10,0.000625561910265068,5,160,huber_loss,1,0.0953,0.1463,27
ebb47eb6,2024-04-23 13-40,MULTIVARIATE_1254,PARZEN,H0.4489913561811363,PNN,-0.0899,100,10,0.000625561910265068,5,160,huber_loss,1,0.1048,0.1521,27
ec0dbd70,2024-04-23 13-41,MULTIVARIATE_1254,PARZEN,H0.4489913561811363,PNN,-0.0899,100,10,0.000625561910265068,5,160,huber_loss,1,0.1048,0.1521,27
3b513638,2024-04-23 13-49,MULTIVARIATE_1254,PARZEN,H0.30886195236981046,PNN,0.1017,100,12,0.0007396434514115792,4,170,huber_loss,1,0.1212,0.1314,6
2516bfb5,2024-04-23 13-50,MULTIVARIATE_1254,PARZEN,H0.30886195236981046,PNN,0.188,100,12,0.0007396434514115792,4,170,huber_loss,1,0.1005,0.1173,6
440e367d,2024-04-23 13-51,MULTIVARIATE_1254,PARZEN,H0.3112970886712788,PNN,0.0388,110,14,0.0006600995607244531,4,174,huber_loss,1,0.0925,0.12,6
3ae43f4b,2024-04-23 14-15,MULTIVARIATE_1254,PARZEN,H0.32837350446657937,PNN,0.5513,200,2,0.00032614616773403313,4,172,huber_loss,1,0.0854,0.0669,23
a1862989,2024-04-23 21-53,MULTIVARIATE_1254,GMM,k-means++ C4 ,GNN,0.7244,770,34,0.0007619622536581125,4,166,mse_loss,1,0.0883,0.0515,8
06b8a4c5,2024-05-10 01-17,MULTIVARIATE_1254,GMM,k-means++ C16 ,GNN,0.5694,620,52,0.00843,1,56,huber_loss,1,0.0863,0.0619,37
4289b6f0,2024-05-23 16-13,EXPONENTIAL_06,GMM,k-means++ C8 ,GNN,0.9924,940,34,0.00924,1,26,mse_loss,1,0.076,0.0212,2
86ea3ba7,2024-05-23 16-15,MULTIVARIATE_1254,GMM,k-means++ C4 ,GNN,0.8035,910,44,0.00537,3,98,mse_loss,1,0.0642,0.0427,47
466b6168,2024-05-23 16-39,MULTIVARIATE_1254,PARZEN,H0.24853179838613948,PNN,0.8297,370,6,0.00043285400651533746,4,154,huber_loss,1,0.0607,0.0313,64
df78523c,2024-05-23 16-43,EXPONENTIAL_06,PARZEN,H0.08920871939579947,PNN,0.9911,530,42,0.0076,2,102,huber_loss,1,0.2115,0.0076,63
