Date,Id,Components,Model,Pdf Type,Samples,Dimension,R2 Score,Mse Score,Max Error Score,Evs Score,Ise Score,K1 Score,Best Params,Experiment Params,Epoch,Pdf Param,Id Dataset
2023-09-08 17:02:06,88814,4,GMM random,exponential,100,1,0.785,0.185,1.129,0.785,361.084,0.702,None,None,0,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:02:07,19fe8,4,MLP kmeans ,exponential,100,1,0.933,0.103,0.438,0.935,0.034,0.029,"{'criterion': <class 'torch.nn.modules.loss.MSELoss'>, 'max_epochs': 50, 'batch_size': 4, 'lr': 0.005, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.MSELoss'>], 'max_epochs': [50, 1000, 5000], 'batch_size': [4, 32, 16], 'lr': [0.005, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",50,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:04:08,c77f9,8,GMM random,exponential,100,1,0.793,0.182,1.131,0.793,362.027,0.702,None,None,0,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:04:09,874b6,8,MLP kmeans ,exponential,100,1,0.963,0.077,0.28,0.973,0.019,0.012,"{'criterion': <class 'torch.nn.modules.loss.MSELoss'>, 'max_epochs': 50, 'batch_size': 4, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.MSELoss'>], 'max_epochs': [50, 1000, 5000], 'batch_size': [4, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",50,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:06:51,ec961,8,MLP kmeans ,exponential,100,1,0.973,0.066,0.244,0.981,0.014,0.009,"{'criterion': <class 'torch.nn.modules.loss.MSELoss'>, 'max_epochs': 50, 'batch_size': 8, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.MSELoss'>], 'max_epochs': [50, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",50,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:07:04,f1a80,8,MLP kmeans ,exponential,100,1,0.955,0.084,0.337,0.967,0.023,0.018,"{'criterion': <class 'torch.nn.modules.loss.MSELoss'>, 'max_epochs': 60, 'batch_size': 8, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.MSELoss'>], 'max_epochs': [60, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",60,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:07:13,f207c,8,MLP kmeans ,exponential,100,1,0.982,0.054,0.277,0.988,0.009,0.006,"{'criterion': <class 'torch.nn.modules.loss.MSELoss'>, 'max_epochs': 40, 'batch_size': 8, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.MSELoss'>], 'max_epochs': [40, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",40,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:07:33,ab3e6,8,MLP kmeans ,exponential,100,1,0.982,0.053,0.278,0.989,0.009,0.006,"{'criterion': <class 'torch.nn.modules.loss.HuberLoss'>, 'max_epochs': 40, 'batch_size': 8, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [40, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",40,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:07:43,8b646,8,MLP kmeans ,exponential,100,1,0.974,0.065,0.236,0.982,0.013,0.008,"{'criterion': <class 'torch.nn.modules.loss.HuberLoss'>, 'max_epochs': 50, 'batch_size': 8, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [50, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",50,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
2023-09-08 17:07:55,73c19,8,MLP kmeans ,exponential,100,1,0.981,0.056,0.244,0.987,0.01,0.006,"{'criterion': <class 'torch.nn.modules.loss.HuberLoss'>, 'max_epochs': 45, 'batch_size': 8, 'lr': 0.002, 'module__last_activation': 'lambda', 'module__hidden_layer': [(80, ReLU()), (160, ReLU())], 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dropout': 0.3}","{'criterion': [<class 'torch.nn.modules.loss.HuberLoss'>], 'max_epochs': [45, 1000, 5000], 'batch_size': [8, 32, 16], 'lr': [0.002, 0.002], 'module__last_activation': ['lambda'], 'module__hidden_layer': [[(80, ReLU()), (160, ReLU())], [(64, Tanh()), (32, Tanh()), (128, ReLU())], [(32, LeakyReLU(negative_slope=0.01)), (32, Tanh()), (64, ReLU())], [(128, ReLU()), (64, Tanh()), (32, ReLU())]], 'optimizer': [<class 'torch.optim.adam.Adam'>], 'module__dropout': [0.3, 0.1]}",45,"[[{'type': 'exponential', 'mean': 0.6, 'weight': 1}]]",297d0
